,SizeRank,ZipCode,State,City,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023,12/31/2023
835,11031.0,77957.0,TX,Edna,130300.1921,139193.0977,152355.4845,171033.249,199889.3158,186844.2657,
836,11044.0,75783.0,TX,Quitman,149413.5307,156611.3383,171327.1895,192746.1109,239766.3879,250912.5142,
837,11052.0,76704.0,TX,Waco,59921.21501,60661.38579,64345.65168,77990.63066,92670.45425,107886.992,
838,11075.0,78119.0,TX,Kenedy,106293.005,114206.8625,127192.2935,132120.147,153426.489,131238.8547,
839,11083.0,76634.0,TX,Clifton,102501.06,111887.2658,119338.9293,135590.286,171153.96,194526.1943,
840,11153.0,75140.0,TX,Grand Saline,117880.4071,124738.2206,144631.8907,164888.9677,213560.4176,209176.939,
841,11167.0,76442.0,TX,Comanche,110427.035,115321.0149,124008.0516,137921.5151,169919.7701,173978.6819,
842,11202.0,77859.0,TX,Hearne,111539.3113,124274.0092,125048.7353,128218.4666,156064.3522,147263.2156,
843,11205.0,75657.0,TX,Jefferson,118758.8268,131115.917,126221.6771,136435.9207,154174.9732,159553.1737,
844,11219.0,78002.0,TX,Atascosa,171303.6846,181415.5083,183172.06,219095.0702,241751.8266,258253.5951,
845,11220.0,77547.0,TX,Galena Park,87189.32105,101494.3271,115860.6529,132273.9927,133537.782,157957.6008,
846,11235.0,78839.0,TX,Crystal City,61033.2647,63442.15869,65326.33624,68209.38633,78328.65716,84461.08482,
847,11235.0,75752.0,TX,Athens,193998.6314,212242.6227,220798.8073,250804.3981,306570.2728,323946.3959,
848,11267.0,77331.0,TX,Coldspring,164974.3927,176913.2863,189199.7624,215070.6694,275094.5101,269149.5405,
849,11277.0,76661.0,TX,Marlin,43788.91139,53924.16967,58634.77876,70685.64423,85023.76856,84716.48947,
850,11298.0,75956.0,TX,Kirbyville,124136.1982,127101.2775,133079.9572,136067.5318,164562.7404,165000.2092,
851,11339.0,79922.0,TX,El Paso,229757.2689,235927.2207,243266.7789,264508.1457,303282.9099,338648.5046,
852,11387.0,75840.0,TX,Fairfield,130935.9179,131528.505,140572.0428,159942.954,197409.2753,208696.4517,
853,11409.0,77864.0,TX,Madisonville,134307.5553,137271.9484,143106.9308,162088.5253,201668.8665,218505.0301,
854,11429.0,78657.0,TX,Horseshoe Bay,345348.7166,401076.9148,427506.9445,475789.2791,630789.3859,672550.8299,
855,11443.0,75603.0,TX,Longview,164022.2882,179269.7218,191406.1855,193377.984,215900.1931,227527.5145,
856,11444.0,78725.0,TX,Austin,214773.1947,224308.9554,231467.5254,258860.0687,332678.9379,347486.1289,
857,11457.0,77486.0,TX,West Columbia,183715.4402,198159.0632,207603.164,218869.0035,244765.4162,253672.9012,
858,11460.0,77371.0,TX,Shepherd,138429.2486,152033.3684,163796.9249,169435.3328,208873.3684,194688.9325,
859,11474.0,78013.0,TX,Comfort,297428.46,317516.0541,332133.8855,379322.2026,486169.4122,491142.045,
860,11478.0,77611.0,TX,Bridge City,157256.2201,164925.7037,177344.487,184416.9578,196966.487,197862.4735,
861,11503.0,79510.0,TX,Clyde,128157.0622,138264.6412,143739.7649,156066.9104,178062.5459,176875.1641,
862,11517.0,76642.0,TX,Groesbeck,120709.3939,128378.3919,132404.8587,147169.6077,184978.1859,197632.0768,
863,11530.0,75860.0,TX,Teague,113929.7461,115376.055,122427.8213,147577.1647,179905.5246,180183.5789,
864,11591.0,79347.0,TX,Muleshoe,80031.87431,81574.70303,85522.00322,96209.53232,110067.6121,111141.5755,
865,11622.0,76557.0,TX,Moody,168624.5101,180763.6682,186420.2013,213984.5139,266176.9691,296568.4743,
866,11633.0,78934.0,TX,Columbus,173498.4655,183226.6195,190709.7921,209236.7153,256215.2376,261097.3469,
867,11674.0,75148.0,TX,Malakoff,150774.9355,165131.1351,172541.0934,204994.4314,262299.7683,280894.055,
868,11676.0,79201.0,TX,Childress,51548.61227,55885.12194,60603.79385,68417.45801,79635.99673,83593.25037,
869,11693.0,77665.0,TX,Winnie,170514.2428,174795.4095,184565.112,195480.792,212557.1465,222090.1227,
870,11714.0,79339.0,TX,Littlefield,51454.64603,55578.17424,59946.72474,70178.33068,80458.08499,83906.8354,
871,11724.0,77465.0,TX,Palacios,142881.3413,151987.1244,148293.6093,158691.6088,178537.6765,180027.6204,
872,11725.0,78606.0,TX,Blanco,297306.8718,318805.9687,349031.9418,396831.146,503716.7641,538235.0625,
873,11738.0,78026.0,TX,Jourdanton,157894.1178,160940.428,174242.0019,191666.0267,228883.5738,230744.2148,
874,11815.0,79104.0,TX,Amarillo,58340.7032,60287.42609,66941.23222,74800.62173,78943.48828,93029.5799,
875,11854.0,76073.0,TX,Paradise,266255.956,287825.9761,317677.4008,348221.2041,424041.9102,453536.2002,
876,11867.0,75076.0,TX,Pottsboro,191678.4689,201076.1267,213880.429,235396.8689,292402.5125,325566.6571,
877,11907.0,76044.0,TX,Godley,237611.8017,256838.5944,276982.4563,310186.1936,376812.8849,423569.1057,
